Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
apsidiole;absydiola;;[sound:quizlet-16914755384-front.mp3];[sound:quizlet-16914755384-back.mp3];"<img src=""quizlet-pLTTt53wfbQvHLjb4w2mYg.jpg"">";Budynki
aqueous;wodny;;[sound:quizlet-16914755385-front.mp3];[sound:quizlet-16914755385-back.mp3];"<img src=""quizlet-WhRqxunlF8dOsL-66uDVqg.jpg"">";Materiały budowlane
aquifer;warstwa wodonośna;;[sound:quizlet-16914755386-front.mp3];[sound:quizlet-16914755386-back.mp3];"<img src=""quizlet-HrEtHOWIgyQZL3NqRjiR0w.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
aramid;aramidowy;;[sound:quizlet-16914755387-front.mp3];[sound:quizlet-16914755387-back.mp3];"<img src=""quizlet-G2HTTl.rWV8CWUVESo5NMA.png"">";Materiały budowlane
arbitration;arbitraż;;[sound:quizlet-16914755388-front.mp3];[sound:quizlet-16914755388-back.mp3];"<img src=""quizlet-zIw0NmIRm2Y7oR4Fvmxc6Q.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
arbitrator;arbiter;;[sound:quizlet-16914755389-front.mp3];[sound:quizlet-16914755389-back.mp3];"<img src=""quizlet-2638185409_4617c55376.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
arc;łuk;Synonimy: bow, arch, curve;[sound:quizlet-16914755390-front.mp3];[sound:quizlet-16914755390-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374514_191229_1732_31.jpg'>;Elementy konstrukcyjne
arcade;arkada;;[sound:quizlet-16914755391-front.mp3];[sound:quizlet-16914755391-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068540_191229_1730_33.jpg'>;Budynki
architect;architekt;;[sound:quizlet-16914755392-front.mp3];[sound:quizlet-16914755392-back.mp3];"<img src=""quizlet-Z9imJ2I.lx3DtdZu6DcUJg.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
Architectural style;styl architektoniczny;;[sound:quizlet-16914755393-front.mp3];[sound:quizlet-16914755393-back.mp3];"<img src=""quizlet-Ft9SNFiXaUZvAAKJsdVnxA.jpg"">";Style, ornamenty, sztuka i historia
architecture;architektura;;[sound:quizlet-16914755394-front.mp3];[sound:quizlet-16914755394-back.mp3];"<img src=""quizlet-unsY2HSi72XHE1AukBzujA.jpg"">";Style, ornamenty, sztuka i historia
architrave;architraw;;[sound:quizlet-16914755395-front.mp3];[sound:quizlet-16914755395-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068537_191228_1549_34.jpg'>;Elementy konstrukcyjne
archivolt;archiwolta;;[sound:quizlet-16914755396-front.mp3];[sound:quizlet-16914755396-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068538_191229_1746_06.jpg'>;Elementy konstrukcyjne
area;powierzchnia;Synonimy: surface;[sound:quizlet-16914755397-front.mp3];[sound:quizlet-16914755397-back.mp3];"<img src=""quizlet-4gOmyjFS2.pfJLRg-CoCiw.jpg"">";Pomiar i jednostki
arenaceous;żwirowaty;Synonimy: gritty, gravelly;[sound:quizlet-16914755398-front.mp3];[sound:quizlet-16914755398-back.mp3];"<img src=""quizlet-.t2.HNN6BMrpYUes1g3kNQ.jpg"">";Materiały budowlane
Arenberg parquet;parkiet Arenberga;;[sound:quizlet-16914755399-front.mp3];[sound:quizlet-16914755399-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074372_200115_1200_32.jpg'>;Wykończenia i detale
argillaceous;gliniasty;Synonimy: clay, loamy;[sound:quizlet-16914755400-front.mp3];[sound:quizlet-16914755400-back.mp3];"<img src=""quizlet-VtkMAjgHRecDzeyQOiZrBw.jpg"">";Materiały budowlane
argon;argon;;[sound:quizlet-16914755401-front.mp3];[sound:quizlet-16914755401-back.mp3];"<img src=""quizlet-i28.PKLD3EBwNRXbDDx33A.jpg"">";Materiały budowlane
arid;jałowy;Synonimy: barren, idle;[sound:quizlet-16914755402-front.mp3];[sound:quizlet-16914755402-back.mp3];"<img src=""quizlet-I80Oq3AVEuAhA2Wtw2au0w.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
array;szyk;;[sound:quizlet-16914755403-front.mp3];[sound:quizlet-16914755403-back.mp3];"<img src=""quizlet-6qqtA0AHKH5SpXn08xgbrw.jpg"">";Elementy konstrukcyjne
arris;kant;Synonimy: edge, bezel, bevel;[sound:quizlet-16914755404-front.mp3];[sound:quizlet-16914755404-back.mp3];"<img src=""quizlet-PJO8nJGIAacWQLtWk-GmHg.png"">";Elementy konstrukcyjne
arris;ostre zejście żłobków;;[sound:quizlet-16914755405-front.mp3];[sound:quizlet-16914755405-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074373_191228_1601_17.jpg'>;Elementy konstrukcyjne
arrow;strzałka;;[sound:quizlet-16914755406-front.mp3];[sound:quizlet-16914755406-back.mp3];"<img src=""quizlet-8SMFhhirjvNQwkJK0gxYJQ.jpg"">";Rysunek techniczny i wizualizacja
Artesian well;studnia Artezyjska;;[sound:quizlet-16914755407-front.mp3];[sound:quizlet-16914755407-back.mp3];"<img src=""quizlet-JCYT5qq8SVZrIeDTCL16Sw.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
articulated;przegubowy;;[sound:quizlet-16914755408-front.mp3];[sound:quizlet-16914755408-back.mp3];"<img src=""quizlet-skeNUUZYHhRAhEqhCxTGIA.jpg"">";Elementy konstrukcyjne
artificial;sztuczny;;[sound:quizlet-16914755409-front.mp3];[sound:quizlet-16914755409-back.mp3];"<img src=""quizlet-rBzoeqGKV-e8gJvctV6pYA.png"">";Materiały budowlane
asbestos;azbest;;[sound:quizlet-16914755410-front.mp3];[sound:quizlet-16914755410-back.mp3];"<img src=""quizlet-0a6UsrNLm2TkWq1OyDCakg.jpg"">";Materiały budowlane
ascertain;ustalać;Synonimy: set, determine, establish;[sound:quizlet-16914755411-front.mp3];[sound:quizlet-16914755411-back.mp3];"<img src=""quizlet-ieNczsESkEMKod3TaXAp9Q.png"">";Proces budowlany
aseismic;asejsmiczny;;[sound:quizlet-16914755412-front.mp3];[sound:quizlet-16914755412-back.mp3];"<img src=""quizlet-jx-dyFMiSHHqQWtJZiFGPA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
ash;popiół;;[sound:quizlet-16914755413-front.mp3];[sound:quizlet-16914755413-back.mp3];"<img src=""quizlet-AKtWPNrInTvPnULKRWGJ9g.jpg"">";Materiały budowlane
ashlar;łom;Synonimy: crowbar, jemmy;[sound:quizlet-16914755414-front.mp3];[sound:quizlet-16914755414-back.mp3];"<img src=""quizlet-OS.ncyiFqiXZvHmRLTxNmA.jpg"">";Narzędzia i sprzęt
aspect;aspekt;Synonimy: feature;[sound:quizlet-16914755415-front.mp3];[sound:quizlet-16914755415-back.mp3];"<img src=""quizlet-.cJSEle-bwwfL0MRe3B88Q.jpg"">";Proces budowlany
aspect ratio;współczynnik proporcji;;[sound:quizlet-16914755416-front.mp3];[sound:quizlet-16914755416-back.mp3];"<img src=""quizlet-22zvyNt5xvFUjhaDfew3hQ.jpg"">";Rysunek techniczny i wizualizacja
asphalt;asfalt;Synonimy: tarmac;[sound:quizlet-16914755417-front.mp3];[sound:quizlet-16914755417-back.mp3];"<img src=""quizlet-uU8JUKalk806GrxJCngaHQ.jpg"">";Materiały budowlane
assembly;montaż;Synonimy: installation, montage, setup;[sound:quizlet-16914755418-front.mp3];[sound:quizlet-16914755418-back.mp3];"<img src=""quizlet-3wq1Xe0Jqi.qgoilu3XIzQ.jpg"">";Proces budowlany
assent;zgoda;Synonimy: agreement, consent, acceptance;[sound:quizlet-16914755419-front.mp3];[sound:quizlet-16914755419-back.mp3];"<img src=""quizlet-dqHGZF3GQECjhBT6t9CROA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
astragal;astragal;;[sound:quizlet-16914755420-front.mp3];[sound:quizlet-16914755420-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068543_191228_1603_26.jpg'>;Style, ornamenty, sztuka i historia
atmospheric pressure;ciśnienie atmosferyczne;;[sound:quizlet-16914755421-front.mp3];[sound:quizlet-16914755421-back.mp3];"<img src=""quizlet-Jb98Jj1WYzbf2A8olj5Ahg.png"">";Pomiar i jednostki
atom;atom;;[sound:quizlet-16914755422-front.mp3];[sound:quizlet-16914755422-back.mp3];"<img src=""quizlet-CGDfXS.2Ecpt8pyC371nTg.jpg"">";Materiały budowlane
atomic;atomowy;;[sound:quizlet-16914755423-front.mp3];[sound:quizlet-16914755423-back.mp3];"<img src=""quizlet-1sjtBpiNs4dsWbXznnQB6w.jpg"">";Materiały budowlane
atrium;atrium;;[sound:quizlet-16914755424-front.mp3];[sound:quizlet-16914755424-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374544_191229_1717_45.jpg'>;Budynki
attenuation;osłabienie;Synonimy: weakness, impairment, debility;[sound:quizlet-16914755425-front.mp3];[sound:quizlet-16914755425-back.mp3];"<img src=""quizlet-GQAiJyAEXmQZb0QOsnROGQ.png"">";Materiały budowlane
attic;poddasze;Synonimy: garret;[sound:quizlet-16914755426-front.mp3];[sound:quizlet-16914755426-back.mp3];"<img src=""quizlet-wZX53zNnyXYTrKZCQdC2IQ.jpg"">";Budynki
auditorium;widownia;;[sound:quizlet-16914755427-front.mp3];[sound:quizlet-16914755427-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074374_200115_1339_55.jpg'>;Budynki
auger;świder;Synonimy: drill;[sound:quizlet-16914755428-front.mp3];[sound:quizlet-16914755428-back.mp3];"<img src=""quizlet-eHJKE6hNZvcm.asXAPC8JQ.jpg"">";Narzędzia i sprzęt
auxiliary equipment;sprzęt pomocniczy;;[sound:quizlet-16914755429-front.mp3];[sound:quizlet-16914755429-back.mp3];"<img src=""quizlet-iFqkomnLsdNRgYL5wTQkTA.jpg"">";Narzędzia i sprzęt
avalanche;lawina;;[sound:quizlet-16914755430-front.mp3];[sound:quizlet-16914755430-back.mp3];"<img src=""quizlet-qcDZB623CAydGmP48N037w.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
average;średni;Synonimy: medium, mean, mid;[sound:quizlet-16914755431-front.mp3];[sound:quizlet-16914755431-back.mp3];"<img src=""quizlet-.Zv.F-ijMuxaUbIzU-b6jg.png"">";Pomiar i jednostki
avulsion;oderwanie;Synonimy: detachment, separation, disengagement;[sound:quizlet-16914755432-front.mp3];[sound:quizlet-16914755432-back.mp3];"<img src=""quizlet-jFY5d4JKcuNR75RVM2t4Pw.png"">";Proces budowlany
awl;szydło;;[sound:quizlet-16914755433-front.mp3];[sound:quizlet-16914755433-back.mp3];"<img src=""quizlet-tQgDwqw77LXvDDfS9HMZCA.jpg"">";Narzędzia i sprzęt
axial;osiowy;;[sound:quizlet-16914755434-front.mp3];[sound:quizlet-16914755434-back.mp3];"<img src=""quizlet-suFSzdzdWgyvZDnRhT7Epw.png"">";Elementy konstrukcyjne
axis;oś;;[sound:quizlet-16914755435-front.mp3];[sound:quizlet-16914755435-back.mp3];"<img src=""quizlet-tBeVozw3fUrc4xNUQGq1aA.jpg"">";Elementy konstrukcyjne
axisymmetric;osiowo-symetryczny;Synonimy: axially symmetric;[sound:quizlet-16914755436-front.mp3];[sound:quizlet-16914755436-back.mp3];"<img src=""quizlet-pJEpgCGwvkmtfWTkRsv2fg.jpg"">";Elementy konstrukcyjne
azimuth;azymut;;[sound:quizlet-16914755437-front.mp3];[sound:quizlet-16914755437-back.mp3];"<img src=""quizlet-XCBtP-Zgr9MT46pHN1MaiQ.png"">";Rysunek techniczny i wizualizacja
backdrop;zasłona;Synonimy: curtain, veil;[sound:quizlet-16914755438-front.mp3];[sound:quizlet-16914755438-back.mp3];"<img src=""quizlet-AcqDNxfOJhjtH7F3co.nxA.jpg"">";Wyposażenie i wnętrza
backhoe;koparka;Synonimy: excavator, digger;[sound:quizlet-16914755439-front.mp3];[sound:quizlet-16914755439-back.mp3];"<img src=""quizlet-OvrAbC3sgtIg1f36uvKawQ.jpg"">";Narzędzia i sprzęt
baffle;przegroda;Synonimy: partition, compartment, bulkhead;[sound:quizlet-16914755440-front.mp3];[sound:quizlet-16914755440-back.mp3];"<img src=""quizlet-HykNRxKB5KUpoqeVS983Gg.jpg"">";Elementy konstrukcyjne
balanced construction;zrównoważona konstrukcja;;[sound:quizlet-16914755441-front.mp3];[sound:quizlet-16914755441-back.mp3];"<img src=""quizlet-6SVlqtoIdRKJxRxQLHo4BQ.jpg"">";Elementy konstrukcyjne
balancing;balansowy;;[sound:quizlet-16914755442-front.mp3];[sound:quizlet-16914755442-back.mp3];"<img src=""quizlet-K-L45D.gCEk8IQrgOr3Tjw.png"">";Elementy konstrukcyjne
balcony;balkon;;[sound:quizlet-16914755443-front.mp3];[sound:quizlet-16914755443-back.mp3];"<img src=""quizlet-SYifqWPI4JAw.WNHqDlbiQ.jpg"">";Wykończenia i detale
ballast;balast;;[sound:quizlet-16914755444-front.mp3];[sound:quizlet-16914755444-back.mp3];"<img src=""quizlet-q-VrqkkkuBQLAR1v867rwg.png"">";Materiały budowlane
baluster;tralka;;[sound:quizlet-16914755445-front.mp3];[sound:quizlet-16914755445-back.mp3];"<img src=""quizlet-1ITNmyt0jqCFf68Om1tQiw.jpg"">";Wykończenia i detale
band saw;piła taśmowa;;[sound:quizlet-16914755446-front.mp3];[sound:quizlet-16914755446-back.mp3];"<img src=""quizlet-nodh_8SD6aRHDOf_kI3dSA.jpg"">";Narzędzia i sprzęt
bar chart;wykres słupkowy;;[sound:quizlet-16914755447-front.mp3];[sound:quizlet-16914755447-back.mp3];"<img src=""quizlet-AQOUZtqoM4Y4HZHPcHs7Sg.jpg"">";Rysunek techniczny i wizualizacja
barbican;barbakan;;[sound:quizlet-16914755448-front.mp3];[sound:quizlet-16914755448-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074773_200114_1640_26.jpg'>;Budynki
barometer;barometr;;[sound:quizlet-16914755449-front.mp3];[sound:quizlet-16914755449-back.mp3];"<img src=""quizlet-SmATbwyytvPgHd.zdNxgfQ.jpg"">";Narzędzia i sprzęt
barotropic;barotropowy;;[sound:quizlet-16914755450-front.mp3];[sound:quizlet-16914755450-back.mp3];"<img src=""quizlet-t.zLAIMIpFS9iF.0o4SnWw.png"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
barrack buildings;koszary;Synonimy: barracks;[sound:quizlet-16914755451-front.mp3];[sound:quizlet-16914755451-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074774_200114_1624_14.jpg'>;Budynki
barrage;zapora;Synonimy: dam, barrier, obstacle;[sound:quizlet-16914755452-front.mp3];[sound:quizlet-16914755452-back.mp3];"<img src=""quizlet-jvKPmPqkx0CKeOwhRTOuoA.png"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
barrier;bariera;Synonimy: obstacle;[sound:quizlet-16914755453-front.mp3];[sound:quizlet-16914755453-back.mp3];"<img src=""quizlet-e7p-JO.xyR1LzdKafjN0UQ.jpg"">";Elementy konstrukcyjne
bartizan;bartyzana/kawaliera;;[sound:quizlet-16914755454-front.mp3];[sound:quizlet-16914755454-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074775_200114_1644_28.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236074776_200114_1619_07.jpg'>;Budynki
basalt;bazalt;;[sound:quizlet-16914769498-front.mp3];[sound:quizlet-16914769498-back.mp3];"<img src=""quizlet-pw8AKNUW2Z9WU383EJklHQ.jpg"">";Materiały budowlane
bascule bridge;most zwodzony;Synonimy: drawbridge, draw-bridge, bascule-bridge;[sound:quizlet-16914769499-front.mp3];[sound:quizlet-16914769499-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374766_200114_1640_05.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
base;baza;Synonimy: basis;[sound:quizlet-16914769500-front.mp3];[sound:quizlet-16914769500-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374767_191228_1552_00.jpg'>;Elementy konstrukcyjne
basement;podziemie/piwnica;Synonimy: cellar;[sound:quizlet-16914769501-front.mp3];[sound:quizlet-16914769501-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074778_200115_1335_56.jpg'>;Budynki
basement window;okno piwniczne;;[sound:quizlet-16914769503-front.mp3];[sound:quizlet-16914769503-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074779_200115_1303_42.jpg'>;Wykończenia i detale
basket handle;(łuk) koszowy;;[sound:quizlet-16914769504-front.mp3];[sound:quizlet-16914769504-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074780_191229_1738_50.jpg'>;Elementy konstrukcyjne
basket weave pattern;parkiet koszykowy;;[sound:quizlet-16914769505-front.mp3];[sound:quizlet-16914769505-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074781_200115_1200_56.jpg'>;Wykończenia i detale
bastion;bastion;;[sound:quizlet-16914769506-front.mp3];[sound:quizlet-16914769506-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074782_200114_1626_52.jpg'>;Budynki
bathroom;łazienka;;[sound:quizlet-16914769507-front.mp3];[sound:quizlet-16914769507-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074783_200115_1316_25.jpg'>;Wyposażenie i wnętrza
batten;rampa;Synonimy: ramp;[sound:quizlet-16914769508-front.mp3];[sound:quizlet-16914769508-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074784_191229_1713_06.jpg'>;Elementy konstrukcyjne
battlement;blanki;;[sound:quizlet-16914769509-front.mp3];[sound:quizlet-16914769509-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074785_200114_1626_15.jpg'>;Budynki
bay window;okno wykuszowe;;[sound:quizlet-16914769511-front.mp3];[sound:quizlet-16914769511-back.mp3];"<img src=""quizlet-TJy1vbMWAHqJYWec36FLfA.jpg"">";Wykończenia i detale
beam;belka;;[sound:quizlet-16914769513-front.mp3];[sound:quizlet-16914769513-back.mp3];"<img src=""quizlet-g3Gn4kO.LMj1bilzZC0zfA.png"">";Elementy konstrukcyjne
bearing;łożysko;;[sound:quizlet-16914769514-front.mp3];[sound:quizlet-16914769514-back.mp3];"<img src=""quizlet-GQ7lpQQKdp7FZixvb8fouA.jpg"">";Elementy konstrukcyjne
bearing wall;ściana nośna;;[sound:quizlet-16914769515-front.mp3];[sound:quizlet-16914769515-back.mp3];"<img src=""quizlet-NpgXxMKTCbMkZc9RDUsJow.png"">";Elementy konstrukcyjne
bed chamber;cubiculum;Synonimy: bedroom;[sound:quizlet-16914769516-front.mp3];[sound:quizlet-16914769516-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074788_191229_1718_50.jpg'>;Wyposażenie i wnętrza
bedroom;sypialnia;;[sound:quizlet-16914769517-front.mp3];[sound:quizlet-16914769517-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074789_200115_1331_22.jpg'>;Wyposażenie i wnętrza
bell roof;dach kopulasty;;[sound:quizlet-16914769518-front.mp3];[sound:quizlet-16914769518-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074790_200114_1648_39.jpg'>;Elementy konstrukcyjne
bell tower | tower;wieża;Synonimy: tower;[sound:quizlet-1836243857965074-front.mp3];[sound:quizlet-16914769519-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074791_191229_1742_27.jpg'>;Budynki
below ground level;poniżej poziomu gruntu;;[sound:quizlet-16914769520-front.mp3];[sound:quizlet-16914769520-back.mp3];"<img src=""quizlet-J5EM2aoAHO_waQnwXTIOpQ.jpg"">";Proces budowlany
belt conveyor;Przenośnik taśmowy;;[sound:quizlet-16914769521-front.mp3];[sound:quizlet-16914769521-back.mp3];"<img src=""quizlet-uayVX8oEYnHuU2W0Vnn1zg.jpg"">";Narzędzia i sprzęt
belt sander;szlifierka taśmowa;;[sound:quizlet-16914769522-front.mp3];[sound:quizlet-16914769522-back.mp3];"<img src=""quizlet-WufACXlJ2AhkyQSa27PJlg.jpg"">";Narzędzia i sprzęt
bevel;ukos;Synonimy: slant, bezel;[sound:quizlet-16914769523-front.mp3];[sound:quizlet-16914769523-back.mp3];"<img src=""quizlet-mmOU6Rlu.PzvKPXNlfaAsQ.png"">";Elementy konstrukcyjne
bi-directional;dwukierunkowe;;[sound:quizlet-16914769524-front.mp3];[sound:quizlet-16914769524-back.mp3];"<img src=""quizlet-Zy0xJ7E-Efth4im5Ymk02A.png"">";Elementy konstrukcyjne
biaxial;dwuosiowy;;[sound:quizlet-16914769525-front.mp3];[sound:quizlet-16914769525-back.mp3];"<img src=""quizlet-dYXTaYzw3ez2K8Zs9E5fTw.png"">";Elementy konstrukcyjne
binding wire;drut wiążący;;[sound:quizlet-16914769526-front.mp3];[sound:quizlet-16914769526-back.mp3];"<img src=""quizlet-AtlGuB7BaQRma98XAHsbxw.jpg"">";Materiały budowlane
bit;kawałek;Synonimy: piece, slice;[sound:quizlet-16914769527-front.mp3];[sound:quizlet-16914769527-back.mp3];"<img src=""quizlet-T6exB.vagUUkd7zBY-MbiA.jpg"">";Materiały budowlane
blank;pusty;Synonimy: empty;[sound:quizlet-16914769528-front.mp3];[sound:quizlet-16914769528-back.mp3];"<img src=""quizlet-6974372_e11d1dca9a.jpg"">";Materiały budowlane
bleach;wybielacz;;[sound:quizlet-16914769529-front.mp3];[sound:quizlet-16914769529-back.mp3];"<img src=""quizlet-9M4b4XD-XhiyeaTRH7tHcQ.jpg"">";Materiały budowlane
blind;żaluzja;Synonimy: louvre, jalousie;[sound:quizlet-16914769530-front.mp3];[sound:quizlet-16914769530-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074792_200115_1143_15.jpg'>;Wykończenia i detale
boiler;bojler;;[sound:quizlet-16914769531-front.mp3];[sound:quizlet-16914769531-back.mp3];"<img src=""quizlet-nBBeMwY0j9d0yK3lwNrJng.jpg"">";Instalacje techniczne
boiling point;temperatura wrzenia;;[sound:quizlet-16914769532-front.mp3];[sound:quizlet-16914769532-back.mp3];"<img src=""quizlet-CjGSWdNxiKoUbCNpMIl9kA.jpg"">";Pomiar i jednostki
bolster;wzmocnić;Synonimy: strengthen;[sound:quizlet-16914769533-front.mp3];[sound:quizlet-16914769533-back.mp3];"<img src=""quizlet-R4UEOe813zZoNDP5qDJcZA.jpg"">";Proces budowlany
bond;więź;Synonimy: link, attachment;[sound:quizlet-16914769534-front.mp3];[sound:quizlet-16914769534-back.mp3];"<img src=""quizlet-zJ_CP9BcThXLVP0wcL3tkQ.jpg"">";Elementy konstrukcyjne
bottom rail;ramiak dolny;;[sound:quizlet-16914769535-front.mp3];[sound:quizlet-16914769535-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074793_200115_1154_04.jpg'>;Wykończenia i detale
bottom stair;pierwszy stopień;;[sound:quizlet-16914769536-front.mp3];[sound:quizlet-16914769536-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074794_200115_1156_07.jpg'>;Elementy konstrukcyjne
bow saw;piła łukowa;;[sound:quizlet-16914769537-front.mp3];[sound:quizlet-16914769537-back.mp3];"<img src=""quizlet-defGHbYgaHbbAUWWF0uLbw.jpg"">";Narzędzia i sprzęt
